,Name,Female?,Party,District
0,Skårman Carl-Erik,0,1,1
1,Romanus Gabriel,0,2,1
2,Odenberg Mikael,0,1,1
3,Järrel Henrik S,0,1,1
4,Lindgren Sylvia,1,3,1
5,Ask Beatrice,1,1,1
6,Hoffmann Ulla,1,4,1
7,Nordlander Inger,1,3,1
8,Ruwaida Yvonne,1,5,1
9,Könberg Bo,0,2,1
10,Attefall Stefan,0,6,1
11,Agenberg Tomas,0,3,1
12,Papadopoulos Nikos,0,3,1
13,Lilliehöök Anna,1,1,1
14,Ohly Lars,0,4,1
15,Höij Helena,1,6,1
16,Larsson Kalle,0,4,1
17,Narti Ana Maria,1,2,1
18,Nordquist Kaj,0,3,1
19,Rojas Mauricio,0,2,1
20,Hassan Maria,1,3,1
21,Adelsohn Liljeroth Lena,1,1,1
22,Vestlund Börje,0,3,1
23,Carlsson i Tyresö Gunilla,1,1,1
24,Frans Joe,0,3,1
25,Sabuni Nyamko,1,2,1
26,Palm Veronica,1,3,1
27,Ohlsson Birgitta,1,2,1
28,Fridolin Gustav,0,5,1
29,Johansson Anita,1,3,2
30,Leijonborg Lars,0,2,2
31,Johansson Jan Emanuel,0,3,2
32,Schyman Gudrun,1,0,2
33,Lejon Britta,1,3,2
34,Odell Mats,0,6,2
35,Lennmarker Göran,0,1,2
36,Davidson Inger,1,6,2
37,Hamilton Björn,0,1,2
38,Reinfeldt Fredrik,0,1,2
39,Pilsäter Karin,1,2,2
40,Rask Ola,0,3,2
41,Lindberg Niclas,0,3,2
42,Arvidsson Eva,1,3,2
43,Osman Sherifay Mariam,1,3,2
44,Moberg Carina,1,3,2
45,Axelsson Christina,1,3,2
46,de Pourbaix-Lundin Marietta,1,1,2
47,Svensson Ingvar,0,6,2
48,Elmsäter-Svärd Catharina,1,1,2
49,Beiming Cinnika,1,3,2
50,Waidelich Tommy,0,3,2
51,Westman Henrik,0,1,2
52,Bargholtz Helena,1,2,2
53,Ångström Lars,0,5,2
54,Einarsson Mats,0,4,2
55,Kerimo Yilmaz,0,3,2
56,Enström Karin,1,1,2
57,Hamilton Carl B,0,2,2
58,Andrén Gunnar,0,2,2
59,Özürküt Sermin,1,4,2
60,Lundgren Kerstin,1,7,2
61,Lundström Nina,1,2,2
62,Björling Ewa,1,1,2
63,Engström Hillevi,1,1,2
64,Valtersson Mikaela,1,5,2
65,Andreasson Martin,0,2,2
66,Franzén Mia,1,2,2
67,Damberg Mikael,0,3,2
68,Hedquist Lennart,0,1,3
69,Burman Ingrid,1,4,3
70,Stenmark Rigmor,1,7,3
71,Tingsgård Tone,1,3,3
72,Bill Per,0,1,3
73,Tesfazion Rezene,0,3,3
74,Berglind Mats,0,3,3
75,Oscarsson Mikael,0,6,3
76,Domeij Åsa,1,5,3
77,Gille Agneta,1,3,3
78,Wikström Cecilia,1,2,3
79,Ullenhag Erik,0,2,3
80,Westerberg Per,0,1,4
