,Name,Female?,Party,District,Winning node
0,Skårman Carl-Erik,0,1,1,"(9, 0)"
1,Romanus Gabriel,0,2,1,"(9, 9)"
2,Odenberg Mikael,0,1,1,"(9, 0)"
3,Järrel Henrik S,0,1,1,"(9, 0)"
4,Lindgren Sylvia,1,3,1,"(0, 0)"
5,Ask Beatrice,1,1,1,"(9, 0)"
6,Hoffmann Ulla,1,4,1,"(0, 9)"
7,Nordlander Inger,1,3,1,"(1, 0)"
8,Ruwaida Yvonne,1,5,1,"(0, 4)"
9,Könberg Bo,0,2,1,"(9, 9)"
10,Attefall Stefan,0,6,1,"(9, 3)"
11,Agenberg Tomas,0,3,1,"(0, 0)"
12,Papadopoulos Nikos,0,3,1,"(1, 0)"
13,Lilliehöök Anna,1,1,1,"(9, 0)"
14,Ohly Lars,0,4,1,"(0, 9)"
15,Höij Helena,1,6,1,"(9, 3)"
16,Larsson Kalle,0,4,1,"(0, 9)"
17,Narti Ana Maria,1,2,1,"(9, 9)"
18,Nordquist Kaj,0,3,1,"(0, 0)"
19,Rojas Mauricio,0,2,1,"(6, 9)"
20,Hassan Maria,1,3,1,"(0, 0)"
21,Adelsohn Liljeroth Lena,1,1,1,"(9, 0)"
22,Vestlund Börje,0,3,1,"(0, 0)"
23,Carlsson i Tyresö Gunilla,1,1,1,"(9, 1)"
24,Frans Joe,0,3,1,"(0, 0)"
25,Sabuni Nyamko,1,2,1,"(9, 9)"
26,Palm Veronica,1,3,1,"(0, 0)"
27,Ohlsson Birgitta,1,2,1,"(9, 9)"
28,Fridolin Gustav,0,5,1,"(0, 6)"
29,Johansson Anita,1,3,2,"(4, 6)"
30,Leijonborg Lars,0,2,2,"(9, 9)"
31,Johansson Jan Emanuel,0,3,2,"(4, 4)"
32,Schyman Gudrun,1,0,2,"(0, 9)"
33,Lejon Britta,1,3,2,"(0, 0)"
34,Odell Mats,0,6,2,"(6, 7)"
35,Lennmarker Göran,0,1,2,"(9, 0)"
36,Davidson Inger,1,6,2,"(6, 7)"
37,Hamilton Björn,0,1,2,"(9, 0)"
38,Reinfeldt Fredrik,0,1,2,"(4, 6)"
39,Pilsäter Karin,1,2,2,"(6, 9)"
40,Rask Ola,0,3,2,"(0, 0)"
41,Lindberg Niclas,0,3,2,"(0, 0)"
42,Arvidsson Eva,1,3,2,"(0, 0)"
43,Osman Sherifay Mariam,1,3,2,"(0, 0)"
44,Moberg Carina,1,3,2,"(4, 4)"
45,Axelsson Christina,1,3,2,"(0, 0)"
46,de Pourbaix-Lundin Marietta,1,1,2,"(9, 0)"
47,Svensson Ingvar,0,6,2,"(9, 3)"
48,Elmsäter-Svärd Catharina,1,1,2,"(9, 0)"
49,Beiming Cinnika,1,3,2,"(0, 0)"
50,Waidelich Tommy,0,3,2,"(3, 4)"
51,Westman Henrik,0,1,2,"(9, 0)"
52,Bargholtz Helena,1,2,2,"(9, 9)"
53,Ångström Lars,0,5,2,"(0, 4)"
54,Einarsson Mats,0,4,2,"(3, 9)"
